,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial Do Cabo,-22.9661,-42.0278,66.16,82,75,5.75,BR,2021-08-03 22:20:59
1,Tuktoyaktuk,69.4541,-133.0374,53.6,71,40,4.61,CA,2021-08-03 22:20:08
2,Saint-Philippe,-21.3585,55.7679,67.59,71,0,7.09,RE,2021-08-03 22:20:44
3,Marzuq,14.4,46.4667,83.95,52,85,6.62,YE,2021-08-03 22:20:50
4,Manbij,36.5281,37.9549,84.97,28,1,13.02,SY,2021-08-03 22:27:44
5,Cape Town,-33.9258,18.4232,57.88,82,40,1.99,ZA,2021-08-03 22:25:16
6,Kapaa,22.0752,-159.319,84.52,74,75,4.0,US,2021-08-03 22:27:45
7,Punta Arenas,-53.15,-70.9167,44.71,70,75,19.57,CL,2021-08-03 22:27:45
8,Albany,42.6001,-73.9662,76.82,64,100,3.09,US,2021-08-03 22:27:00
9,Kandi,11.1342,2.9386,74.84,83,99,4.54,BJ,2021-08-03 22:27:46
10,Ayan,56.45,138.1667,53.47,79,99,2.68,RU,2021-08-03 22:27:46
11,Paita,-5.0892,-81.1144,69.19,75,64,14.65,PE,2021-08-03 22:27:47
12,Ballina,-28.8667,153.5667,57.78,54,0,9.22,AU,2021-08-03 22:27:47
13,Roma,43.2128,-75.4557,78.94,49,1,9.22,US,2021-08-03 22:23:29
14,Butaritari,3.0707,172.7902,83.23,72,100,15.95,KI,2021-08-03 22:20:35
15,Kodiak,57.79,-152.4072,56.71,77,90,6.91,US,2021-08-03 22:21:17
16,Sao Filipe,14.8961,-24.4956,75.0,96,100,15.66,CV,2021-08-03 22:20:24
17,Carnarvon,-24.8667,113.6333,48.27,47,0,10.36,AU,2021-08-03 22:21:22
18,Tuatapere,-46.1333,167.6833,38.82,83,100,4.65,NZ,2021-08-03 22:27:49
19,Hilo,19.7297,-155.09,79.25,75,54,5.99,US,2021-08-03 22:20:36
20,Celestun,20.8667,-90.4,85.59,70,36,14.43,MX,2021-08-03 22:27:50
21,Jamestown,42.097,-79.2353,74.3,55,20,4.0,US,2021-08-03 22:20:39
22,Srednekolymsk,67.45,153.6833,42.15,56,100,19.98,RU,2021-08-03 22:23:03
23,Hermanus,-34.4187,19.2345,52.9,92,52,3.0,ZA,2021-08-03 22:20:34
24,San Patricio,28.017,-97.5169,93.88,48,100,0.96,US,2021-08-03 22:21:33
25,Qaanaaq,77.484,-69.3632,41.16,98,100,5.68,GL,2021-08-03 22:20:11
26,Grootfontein,-19.5667,18.1167,53.17,47,0,5.75,NA,2021-08-03 22:27:55
27,Havre-Saint-Pierre,50.2334,-63.5986,62.96,77,1,11.5,CA,2021-08-03 22:22:13
28,Soe,-9.8607,124.284,62.11,93,54,3.96,ID,2021-08-03 22:27:55
29,Barrow,71.2906,-156.7887,48.22,70,90,14.97,US,2021-08-03 22:21:41
30,Yumen,40.2833,97.2,71.56,16,100,8.23,CN,2021-08-03 22:22:49
31,Pevek,69.7008,170.3133,37.89,86,77,4.05,RU,2021-08-03 22:20:23
32,Ixtapa,20.7,-105.2,85.23,74,75,9.22,MX,2021-08-03 22:23:35
33,Luderitz,-26.6481,15.1594,60.46,70,7,3.89,NA,2021-08-03 22:17:23
34,Faanui,-16.4833,-151.75,79.25,74,32,9.24,PF,2021-08-03 22:20:18
35,Ushuaia,-54.8,-68.3,42.46,65,40,6.91,AR,2021-08-03 22:25:03
36,Zemio,5.0314,25.1361,68.25,96,74,2.53,CF,2021-08-03 22:27:59
37,Santa Ana,33.7456,-117.8678,110.08,42,20,3.0,US,2021-08-03 22:24:58
38,Porto De Moz,-1.7483,-52.2383,78.3,66,100,2.71,BR,2021-08-03 22:28:00
39,Mataura,-46.1927,168.8643,38.48,87,81,3.06,NZ,2021-08-03 22:20:13
40,Taloqan,36.7361,69.5345,78.24,22,0,5.19,AF,2021-08-03 22:28:00
41,Bonthe,7.5264,-12.505,76.82,75,40,6.33,SL,2021-08-03 22:23:20
42,Sawtell,-30.3833,153.1,53.62,66,0,1.14,AU,2021-08-03 22:23:06
43,Christchurch,-43.5333,172.6333,47.32,74,6,1.99,NZ,2021-08-03 22:20:23
44,Bredasdorp,-34.5322,20.0403,52.92,87,28,4.61,ZA,2021-08-03 22:20:19
45,Puerto Ayora,-0.7393,-90.3518,78.76,77,79,10.31,EC,2021-08-03 22:21:08
46,Bud,39.447,-86.1758,80.58,48,28,4.41,US,2021-08-03 22:28:02
47,Hobart,-42.8794,147.3294,46.26,86,40,1.01,AU,2021-08-03 22:20:50
48,Mahebourg,-20.4081,57.7,70.09,64,20,10.36,MU,2021-08-03 22:20:22
49,Dudinka,69.4058,86.1778,61.63,80,56,6.26,RU,2021-08-03 22:28:03
50,Bluff,-46.6,168.3333,38.8,82,80,7.72,NZ,2021-08-03 22:20:11
51,Sitka,57.0531,-135.33,60.69,82,90,8.05,US,2021-08-03 22:20:51
52,Benito Juarez,19.385,-99.165,67.59,60,90,3.0,MX,2021-08-03 22:28:04
53,Lagoa,39.05,-27.9833,72.23,87,5,7.4,PT,2021-08-03 22:20:39
54,Rikitea,-23.1203,-134.9692,70.21,55,94,13.33,PF,2021-08-03 22:28:04
55,Thompson,55.7435,-97.8558,86.16,39,75,12.66,CA,2021-08-03 22:20:15
56,Hofn,64.2539,-15.2082,53.82,91,91,3.62,IS,2021-08-03 22:28:05
57,Busselton,-33.65,115.3333,43.09,77,79,2.71,AU,2021-08-03 22:20:10
58,Westport,41.1415,-73.3579,77.18,59,1,4.0,US,2021-08-03 22:23:43
59,Malaya Purga,56.5567,53.0043,72.5,66,65,2.51,RU,2021-08-03 22:28:06
60,Nemuro,43.3236,145.575,65.34,98,100,8.3,JP,2021-08-03 22:28:06
61,Ucluelet,48.9329,-125.5528,94.05,81,5,3.0,CA,2021-08-03 22:21:24
62,Pingliang,35.5392,106.6861,67.21,70,100,0.67,CN,2021-08-03 22:28:07
63,Mahon,39.8885,4.2658,73.96,78,0,5.75,ES,2021-08-03 22:28:08
64,Georgetown,5.4112,100.3354,80.53,92,20,5.75,MY,2021-08-03 22:17:29
65,Lompoc,34.6391,-120.4579,90.01,71,1,13.8,US,2021-08-03 22:23:06
66,Isangel,-19.55,169.2667,73.51,73,40,3.44,VU,2021-08-03 22:20:21
67,Bokoro,12.3807,17.0568,77.07,81,62,7.85,TD,2021-08-03 22:28:09
68,Henties Bay,-22.116,14.2845,58.86,85,25,5.91,NA,2021-08-03 22:21:34
69,Yellowknife,62.456,-114.3525,64.33,45,75,3.0,CA,2021-08-03 22:20:12
70,Sao Joao Da Barra,-21.6403,-41.0511,66.51,84,22,13.96,BR,2021-08-03 22:28:10
